doe_building_type,confidence,justification,key
OtherCommercial,0.8,Disability services and support organizations are typically office or service-oriented commercial spaces.,disability_services_and_support_organization
PrimarySchool,0.7,"Pharmacy schools are educational institutions, likely PrimarySchool or SecondarySchool; PrimarySchool chosen for general education.",pharmacy_schools
OtherIndustrial,0.85,"Commercial refrigeration is an industrial service, best categorized as OtherIndustrial.",commercial_refrigeration
OtherCommercial,0.4,"Stargazing area is an outdoor natural feature, no DOE building type; assigned OtherCommercial.",stargazing_area
OtherCommercial,0.6,"Free diving center is a recreational service, best mapped to other commercial.",free_diving_center
OtherCommercial,0.6,"Zorbing center is a recreational facility, best categorized as OtherCommercial.",zorbing_center
OtherCommercial,0.6,Fitness exercise equipment sales or service is commercial but not clearly office or retail.,fitness_exercise_equipment
OtherIndustrial,0.75,"Exhaust and muffler repair is an automotive repair service, classified as OtherIndustrial.",exhaust_and_muffler_repair
OtherCommercial,0.8,Casino is a commercial entertainment facility without a specific DOE type.,casino
PrimarySchool,0.6,Dentistry schools are educational institutions; PrimarySchool is the closest DOE school type.,dentistry_schools
StandaloneRetail,0.85,"Electronics repair shop is a retail/service location, fitting StandaloneRetail.",electronics_repair_shop
OtherCommercial,0.6,Hot tubs and pools are commercial recreational facilities.,hot_tubs_and_pools
FullServiceRestaurant,0.9,Ukrainian restaurant is a full service dining establishment.,ukrainian_restaurant
SmallOffice,0.8,Career counseling is a professional service usually in small office settings.,career_counseling
QuickServiceRestaurant,0.8,Poutinerie restaurant is a quick service restaurant.,poutinerie_restaurant
OtherCommercial,0.75,"Clothing rental is a retail-related service but not standalone retail store, so other commercial.",clothing_rental
OutPatient,0.9,Pediatric neurology is a medical specialty typically provided in outpatient clinics.,pediatric_neurology
Hospital,0.7,Hospital equipment and supplies are related to hospital facilities.,hospital_equipment_and_supplies
Warehouse,0.7,Transportation services often involve warehousing and logistics.,transportation
LargeOffice,0.85,Television station is a large office/media facility.,television_station
SmallOffice,0.7,Writing services are typically small office businesses.,writing_service
OtherCommercial,0.6,"Importer and exporter is a commercial business, likely office or warehouse, but not specific.",importer_and_exporter
SmallOffice,0.7,"Promotional products and services are office-based businesses, fitting SmallOffice.",promotional_products_and_services
OtherIndustrial,0.9,"Pipeline transportation is an industrial infrastructure-related activity, best categorized under OtherIndustrial.",pipeline_transportation
OtherIndustrial,0.9,Oil and gas exploration and development is an industrial activity.,oil_and_gas_exploration_and_development
StandaloneRetail,0.85,Gun and ammo stores are retail outlets selling firearms and ammunition.,gun_and_ammo
MediumOffice,0.8,"Local and state government offices are office spaces, typically medium sized.",local_and_state_government_offices
StandaloneRetail,0.85,Fabric store is a retail establishment.,fabric_store
OtherIndustrial,0.6,Solar panel cleaning is an industrial maintenance service.,solar_panel_cleaning
StandaloneRetail,0.9,Drugstores are retail establishments selling pharmaceuticals and related goods.,drugstore
SmallOffice,0.8,Civil rights lawyers operate in small office settings.,civil_rights_lawyers
SmallOffice,0.7,Washer and dryer repair service is a small office or workshop.,washer_and_dryer_repair_service
OtherIndustrial,0.8,Carpet dyeing is an industrial process.,carpet_dyeing
FullServiceRestaurant,0.95,International restaurant is a full-service dining establishment.,international_restaurant
QuickServiceRestaurant,0.9,"Fish and chips restaurant is a fast food type, fitting QuickServiceRestaurant.",fish_and_chips_restaurant
OtherIndustrial,0.8,retaining_wall_supplier is an industrial supplier.,retaining_wall_supplier
StandaloneRetail,0.7,Seal and hanko dealers are retail or specialty commercial shops.,seal_and_hanko_dealers
OutPatient,0.9,Speech therapy is a healthcare service usually provided in outpatient settings.,speech_therapist
SmallOffice,0.8,Public relations is a professional service typically conducted in small office settings.,public_relations
OtherCommercial,0.7,"Police departments are government service buildings, not specifically categorized in DOE types.",police_department
OtherIndustrial,0.65,"Equestrian facilities involve animal care and training, fitting OtherIndustrial.",equestrian_facility
SmallOffice,0.8,Insurance agencies operate in small office settings.,insurance_agency
StandaloneRetail,0.9,"A rice shop is a retail store selling rice, fitting the StandaloneRetail category.",rice_shop
Warehouse,0.85,Warehouse rental services and yards fit the warehouse category.,warehouse_rental_services_and_yards
SmallOffice,0.7,General business activities often occur in small office buildings.,business
OtherIndustrial,0.8,Masonry contractors involve industrial or construction-related activities.,masonry_contractors
OtherCommercial,0.7,Taxidermist is a commercial service without a specific DOE building type.,taxidermist
SmallHotel,0.9,"Bed and breakfast is a small lodging facility, fitting SmallHotel.",bed_and_breakfast
SecondarySchool,0.8,"Business schools are educational institutions, often secondary or higher education.",business_schools
OtherCommercial,0.7,"EMS training is a commercial or institutional service, no specific DOE type.",ems_training
OtherCommercial,0.6,Pet boarding is a commercial service not clearly fitting other categories.,pet_boarding
StandaloneRetail,0.8,Home decor stores are retail establishments.,home_decor
FullServiceRestaurant,0.9,Venezuelan restaurant is a full-service ethnic restaurant.,venezuelan_restaurant
StandaloneRetail,0.85,Art supply store is a retail establishment.,art_supply_store
SmallOffice,0.8,Automobile registration service is an office-based government or administrative service.,automobile_registration_service
OtherCommercial,0.6,ATV rentals and tours are commercial recreational services.,atv_rentals_and_tours
OtherCommercial,0.5,"Beach combing area is an outdoor recreational area, no direct building type; OtherCommercial used.",beach_combing_area
OtherCommercial,0.5,"Fishing club is a recreational organization, no direct DOE building type.",fishing_club
OtherCommercial,0.7,"Auto company likely refers to dealership or service, assigned OtherCommercial.",auto_company
OtherCommercial,0.5,"Geologic formations are natural features, not buildings; assigned OtherCommercial by default.",geologic_formation
OtherCommercial,0.5,"Rugby pitch is an outdoor sports facility, no direct DOE building type match.",rugby_pitch
OtherCommercial,0.75,Golf club is a recreational commercial facility.,golf_club
SmallOffice,0.7,"Forestry consultants provide professional services, likely in small offices.",forestry_consultants
FullServiceRestaurant,0.9,Middle Eastern restaurant is a full-service dining establishment.,middle_eastern_restaurant
QuickServiceRestaurant,0.95,Poke restaurant is typically a quick service restaurant.,poke_restaurant
Warehouse,0.8,Aircraft parts and supplies are stored and distributed from warehouses.,aircraft_parts_and_supplies
OutPatient,0.9,Hearing aid provider is a medical outpatient service.,hearing_aid_provider
OtherCommercial,0.6,Rafting and kayaking areas are recreational commercial spaces.,rafting_kayaking_area
SmallOffice,0.8,Payroll services are office-based professional services.,payroll_services
SmallOffice,0.8,"Secretarial services are office-based professional services, fitting SmallOffice.",secretarial_services
SmallOffice,0.6,Indoor landscaping is a service likely in a small office or retail space.,indoor_landscaping
SmallHotel,0.9,Hostels provide lodging similar to small hotels.,hostel
Hospital,0.85,"Animal hospital is a medical facility, best matched to Hospital.",animal_hospital
OtherCommercial,0.6,"Strip club is a commercial entertainment venue, assigned OtherCommercial.",strip_club
OtherCommercial,0.6,"Paintball is a recreational activity, best categorized as OtherCommercial.",paintball
OtherCommercial,0.4,"Canyon is a natural feature, no DOE building type; assigned OtherCommercial.",canyon
OtherCommercial,0.6,Pet waste removal is a service without a specific DOE building type.,pet_waste_removal
OtherCommercial,0.6,"Road structures and services relate to infrastructure and public services, best fitting OtherCommercial.",road_structures_and_services
Warehouse,0.7,Window supplier likely involves storage and distribution.,window_supplier
OtherCommercial,0.7,"Track stadiums are recreational/sports facilities, best mapped to OtherCommercial.",track_stadium
FullServiceRestaurant,0.8,Hawaiian restaurant is a full service restaurant.,hawaiian_restaurant
OtherCommercial,0.6,Aquarium services are specialized commercial services not fitting other categories.,aquarium_services
OtherIndustrial,0.7,Water supplier is an industrial utility service.,water_supplier
SmallOffice,0.6,Domestic business and trade organizations typically operate in office environments.,domestic_business_and_trade_organizations
OtherIndustrial,0.6,"Ultralight airports are specialized industrial facilities, best categorized as OtherIndustrial.",ultralight_airports
QuickServiceRestaurant,0.9,"Bagel restaurant is a quick service food outlet, fitting QuickServiceRestaurant.",bagel_restaurant
OtherIndustrial,0.9,"B2B dairies involve industrial-scale processing and distribution, fitting OtherIndustrial.",b2b_dairies
OtherCommercial,0.6,Public toilet is a small commercial or public facility.,public_toilet
OtherCommercial,0.5,"A cave is a natural feature, no direct DOE building type; OtherCommercial used as a generic placeholder.",cave
FullServiceRestaurant,0.95,An Afghan restaurant is a full-service dining establishment.,afghan_restaurant
OtherCommercial,0.7,"Skate park is a recreational facility, categorized as OtherCommercial.",skate_park
SmallOffice,0.7,Public and government associations typically operate in office buildings.,public_and_government_association
OtherCommercial,0.6,Food is too generic; assigned to other commercial.,food
SmallOffice,0.9,"Banks typically operate in office-like environments with customer service areas, fitting well within the SmallOffice category.",banks
OtherCommercial,0.7,golf_instructor is a sports instruction service.,golf_instructor
Hospital,0.8,Health and medical services generally align with hospital or outpatient; hospital chosen for broad medical services.,health_and_medical
OtherIndustrial,0.9,Saw mill is an industrial facility.,saw_mill
OtherCommercial,0.6,"Holiday market is a temporary retail event, best classified as OtherCommercial.",holiday_market
FullServiceRestaurant,0.9,A sushi restaurant is a full-service restaurant offering sit-down dining.,sushi_restaurant
OtherIndustrial,0.7,Olive oil production is industrial manufacturing.,olive_oil
OtherCommercial,0.6,"Community services cover a broad range of activities, best generalized as OtherCommercial.",community_services
OtherIndustrial,0.8,Agricultural cooperatives involve industrial/agricultural activities.,agricultural_cooperatives
OtherCommercial,0.8,"Tennis court is a recreational facility, categorized as OtherCommercial.",tennis_court
SmallOffice,0.8,Media agency is an office-based business.,media_agency
SmallOffice,0.8,"General litigation is a legal office function, typically housed in small office buildings.",general_litigation
SmallOffice,0.7,Security services are typically small office operations.,security_services
PrimarySchool,0.7,"Educational camp is related to education, PrimarySchool is the closest DOE building type.",educational_camp
StandaloneRetail,0.8,"Holiday decor is a retail activity, best matched to StandaloneRetail for specialty stores.",holiday_decor
OutPatient,0.9,A midwife provides outpatient medical services.,midwife
Warehouse,0.8,"A wholesaler usually stores and distributes goods, aligning with warehouse classification.",lingerie_wholesaler
OtherCommercial,0.9,Hair salons are commercial service businesses.,hair_salon
FullServiceRestaurant,0.85,Falafel restaurant likely offers full-service dining.,falafel_restaurant
OtherIndustrial,0.8,Greenhouses are industrial agricultural buildings.,greenhouses
OtherCommercial,0.6,"Wellness programs are services, not tied to a specific building type, so OtherCommercial fits.",wellness_program
FullServiceRestaurant,0.9,Irish pub is a full-service restaurant/bar.,irish_pub
SmallOffice,0.8,Web hosting service is typically an office-based business.,web_hosting_service
OtherCommercial,0.6,Bike rentals are commercial services.,bike_rentals
SmallOffice,0.7,Scale suppliers are typically small office or retail businesses.,scale_supplier
OtherCommercial,0.7,"Catholic church is a religious facility, no DOE match.",catholic_church
FullServiceRestaurant,0.85,Guamanian restaurant likely offers full service dining.,guamanian_restaurant
OtherCommercial,0.6,"Taxi service is a transportation service, not fitting typical building types, so OtherCommercial.",taxi_service
Hospital,0.9,Emergency room is part of hospital services.,emergency_room
SmallOffice,0.7,Inventory control services are office-based businesses.,inventory_control_service
SmallOffice,0.8,Tax services are typically provided in small office environments.,tax_services
SmallOffice,0.7,"Bank equipment service is a professional service, fitting SmallOffice.",bank_equipment_service
OutPatient,0.9,Ophthalmologists are medical professionals typically working in outpatient clinics.,ophthalmologist
OtherCommercial,0.75,"Baptist church is a religious facility, categorized as OtherCommercial.",baptist_church
OtherCommercial,0.6,"Tasting classes are commercial activities related to education or events, best categorized as OtherCommercial.",tasting_classes
StandaloneRetail,0.7,Water store is a retail outlet selling bottled water or water supplies.,water_store
OtherCommercial,0.6,"Zoo is a public attraction, no direct DOE type; OtherCommercial.",zoo
OtherCommercial,0.7,"Opera and ballet are cultural venues, fitting other commercial.",opera_and_ballet
StandaloneRetail,0.8,Glass and mirror sales is a retail operation.,glass_and_mirror_sales_service
OtherCommercial,0.7,High gliding center is a specialized recreational or commercial facility not fitting standard categories.,high_gliding_center
SmallOffice,0.7,"Talent agency is an office-based service, fitting SmallOffice.",talent_agency
OtherCommercial,0.5,Gardener is a service profession without a specific DOE building type.,gardener
StandaloneRetail,0.8,Butcher shop is a retail food store.,butcher_shop
OtherCommercial,0.7,"Painting is a service industry, best matched to OtherCommercial.",painting
SmallOffice,0.8,Genealogists provide professional services typically in small office settings.,genealogists
StandaloneRetail,0.7,"Livestock feed and supply store is a retail supplier, fitting StandaloneRetail.",livestock_feed_and_supply_store
QuickServiceRestaurant,0.8,Milk bar is typically a quick service food outlet.,milk_bar
Warehouse,0.6,Iron work is industrial; Warehouse is the closest DOE building type for industrial use.,iron_work
OtherCommercial,0.5,"Backpacking area is an outdoor recreational space, no direct DOE building type, so OtherCommercial is closest.",backpacking_area
OtherIndustrial,0.7,Gravel professionals relate to industrial or construction activities.,gravel_professionals
OtherCommercial,0.8,"Boxing gym is a fitness/recreational facility, best categorized as OtherCommercial.",boxing_gym
SuperMarket,0.9,International grocery store fits supermarket category.,international_grocery_store
FullServiceRestaurant,0.9,Norwegian restaurant is a full-service restaurant.,norwegian_restaurant
QuickServiceRestaurant,0.8,Pretzels are typically sold in quick-service or snack food settings.,pretzels
OtherIndustrial,0.8,Emergency roadside service is an industrial service.,emergency_roadside_service
OtherCommercial,0.8,"Musical bands and orchestras typically perform in commercial venues or dedicated performance spaces, which fall under OtherCommercial.",musical_band_orchestras_and_symphonies
SuperMarket,0.8,Frozen foods relate to supermarket or grocery retail.,frozen_foods
OtherCommercial,0.7,Commercial vehicle dealers operate retail or commercial sales spaces.,commercial_vehicle_dealer
OtherCommercial,0.8,"Tire dealer and repair is a commercial service, often in standalone or strip mall locations, best categorized as OtherCommercial.",tire_dealer_and_repair
OtherIndustrial,0.85,Grain production is an industrial agricultural activity.,grain_production
OtherCommercial,0.7,Music production is a commercial activity not fitting other categories.,music_production
QuickServiceRestaurant,0.85,Shaved ice shop is a quick service food outlet.,shaved_ice_shop
SmallOffice,0.9,"Web designer is an office-based professional service, fitting SmallOffice.",web_designer
OtherCommercial,0.5,"Island is a geographic feature, no direct DOE building type.",island
Hospital,0.9,Pediatric surgery is a hospital-based medical service.,pediatric_surgery
OtherCommercial,0.7,Indoor play centers are commercial recreational facilities.,indoor_playcenter
Warehouse,0.8,"FMCG wholesaler involves storage and distribution, matching warehouse use.",fmcg_wholesaler
FullServiceRestaurant,0.9,South African restaurant is a full-service dining establishment.,south_african_restaurant
SmallOffice,0.7,Estheticians typically operate in small office or retail spaces.,esthetician
SmallOffice,0.8,Shared office space is an office environment.,shared_office_space
FullServiceRestaurant,0.9,Egyptian restaurant is a full-service dining establishment.,egyptian_restaurant
OtherCommercial,0.7,"Dance school is a recreational/educational facility, fitting OtherCommercial.",dance_school
OtherIndustrial,0.85,Commercial industrial is a broad industrial category.,commercial_industrial
SmallOffice,0.7,Check cashing and payday loans are financial services typically in small offices.,check_cashing_payday_loans
OtherCommercial,0.6,"Country dance hall is a commercial entertainment venue, fitting OtherCommercial.",country_dance_hall
OtherCommercial,0.7,"Non-governmental association is an organizational office, best categorized as OtherCommercial.",non_governmental_association
OtherCommercial,0.6,Paint and sip is a commercial entertainment/service venue.,paint_and_sip
SmallOffice,0.8,Geological services are professional services typically in office settings; SmallOffice applies.,geological_services
OtherIndustrial,0.9,"Recycling center is an industrial facility, best categorized as OtherIndustrial.",recycling_center
OutPatient,0.8,Animal physical therapy is a medical outpatient service.,animal_physical_therapy
StandaloneRetail,0.8,Cards and stationery store is a retail establishment.,cards_and_stationery_store
OtherCommercial,0.75,Truck dealers for businesses are commercial vehicle sales operations.,truck_dealer_for_businesses
SmallOffice,0.7,"Visa agent is a small office providing services, matching SmallOffice.",visa_agent
OtherIndustrial,0.85,"Laboratory testing involves industrial or technical processes, aligning with OtherIndustrial.",laboratory_testing
OtherIndustrial,0.8,Iron and steel stores likely involve industrial or heavy commercial activities.,iron_and_steel_store
PrimarySchool,0.7,"Sports school is an educational facility, best mapped to PrimarySchool.",sports_school
OtherCommercial,0.7,"Striptease dancer venues are commercial entertainment, best fit OtherCommercial.",striptease_dancer
OtherCommercial,0.6,Horse riding is a recreational activity not covered by DOE building types.,horse_riding
SmallOffice,0.8,IT support and service are professional services typically in small office buildings.,it_support_and_service
OtherCommercial,0.7,Boot camp is a fitness/recreational facility.,boot_camp
StandaloneRetail,0.85,Car dealer is a retail sales facility.,car_dealer
OtherCommercial,0.6,"Colonics is a wellness service, commercial but no direct DOE match.",colonics
OtherCommercial,0.8,"Trade fairs are commercial events typically held in convention centers or exhibition halls, which align with OtherCommercial.",trade_fair
FullServiceRestaurant,0.9,Texmex restaurant fits the category of a full-service restaurant serving meals.,texmex_restaurant
OtherIndustrial,0.8,Wheel and rim repair is an industrial or service workshop.,wheel_and_rim_repair
OtherCommercial,0.6,Go kart track is a recreational commercial activity without a DOE building type.,go_kart_track
OutPatient,0.9,Podiatrist is a medical outpatient service.,podiatrist
SmallOffice,0.85,A bookkeeper typically works in a small office environment.,bookkeeper
Warehouse,0.7,"Water delivery involves storage and distribution, fitting Warehouse.",water_delivery
PrimarySchool,0.6,Education is broad; assigned PrimarySchool as a common educational building type.,education
FullServiceRestaurant,0.95,Belgian restaurant is a full-service dining establishment.,belgian_restaurant
OtherCommercial,0.7,"A basketball court is a recreational facility, which does not fit typical DOE building types but aligns best with OtherCommercial.",basketball_court
StandaloneRetail,0.7,Tabac (tobacco shop) is a retail store.,tabac
FullServiceRestaurant,0.9,DIY foods restaurant is a full-service restaurant type.,diy_foods_restaurant
OtherCommercial,0.6,Adult entertainment venues do not fit standard categories; OtherCommercial is closest.,adult_entertainment
OtherCommercial,0.6,"Jehovahs Witness Kingdom Hall is a religious meeting place, no direct DOE type; assigned OtherCommercial.",jehovahs_witness_kingdom_hall
OutPatient,0.95,"Pulmonologist is a medical specialist, outpatient clinic.",pulmonologist
StandaloneRetail,0.8,Grilling equipment is retail merchandise typically sold in standalone retail stores.,grilling_equipment
OtherCommercial,0.6,Tent house supplier is a commercial retail or rental business not fitting other categories.,tent_house_supplier
StandaloneRetail,0.85,Business office supplies and stationery is retail.,business_office_supplies_and_stationery
OtherCommercial,0.7,"Balloon ports are transportation-related facilities, best mapped to OtherCommercial.",balloon_ports
